[11:49:10] Decks initialized, 2 found.
[11:50:08] Decks initialized, 2 found.
[12:15:58] Decks initialized, 2 found.
[12:16:52] Decks initialized, 2 found.
[12:23:25] Decks initialized, 2 found.
[12:24:51] Decks initialized, 2 found.
[12:26:07] Decks initialized, 2 found.
[12:51:42] Decks initialized, 2 found.
[13:49:51] Decks initialized, 2 found.
[13:50:50] Decks initialized, 2 found.
[13:51:59] Decks initialized, 2 found.
[13:53:56] Decks initialized, 2 found.
[13:54:16] Decks initialized, 2 found.
[15:10:34] Decks initialized, 2 found.
[15:18:03] Decks initialized, 2 found.
